Registration Number,Location Status,Licensee Name,Call Sign,Earth Station Latitude DMS,Earth Station Longitude DMS,Earth Station Latitude Decimal,Earth Station Longitude Decimal,Lower Frequency (MHz),Upper Frequency (MHz),Pointing Azimuth (degrees),Pointing Elevation Angle (degrees),Antenna Gain (dBi),Earth Station Site Elevation (meters),Earth Station Height AGL (meters),Earth Station Height AMSL (meters),GSO Satellite Longitude Decimal Degrees,Use for Tracking Telemetry and Command,Certification Date,Registration Last Updated,Call Sign Last Updated
FSS0001571,Active,SES Americom Inc,E000696,"N38 47' 03.2""","W77 34' 21.7""",38.78,-77.57,"3,625.00","4,200.00",129.5,31.1,51.6,86.5,12.8,99.3,-40.5,TRUE,10/23/2023,10/23/2023 13:11,10/23/2023 13:11
FSS0001573,Active,SES Americom Inc,E000696,"N38 47' 03.2""","W77 34' 21.7""",38.78,-77.57,"3,625.00","4,200.00",113.3,17.9,55.1,86.5,17,103.5,-22,TRUE,10/23/2023,10/23/2023 13:11,10/23/2023 13:11
FSS0001576,Inactive,SES Americom Inc,E000152,"N38 47' 01.6""","W77 34' 24.3""",38.78,-77.57,"3,700.00","4,200.00",129.7,31,47.4,86.5,7,93.5,-40.5,TRUE,11/9/2021,11/9/2021 12:56,11/9/2021 12:56
FSS0001578,Active,"Sprint Communications Co., LP",E6241,"N37 45' 40""","W121 47' 53""",37.76,-121.8,"3,625.00","4,200.00",242.4,22.9,55.8,236.2,14.7,250.9,171,FALSE,11/2/2022,11/2/2022 13:50,11/2/2022 13:50
FSS0001580,Active,"Sprint Communications Co., LP",KA232,"N37 45' 40""","W121 47' 53""",37.76,-121.8,"3,625.00","4,200.00",249.2,16.3,56,230.4,18.9,249.3,180,FALSE,11/2/2022,11/2/2022 13:49,11/2/2022 13:49
FSS0001582,Inactive,"SES Americom, Inc",E070183,"N39 22' 36""","W77 04' 47.3""",39.38,-77.08,"3,700.00","4,200.00",245.2,18.9,51.9,190.5,14.6,205.1,-131,FALSE,2/4/2020,11/16/2022 11:46,11/16/2022 11:46
FSS0001585,Inactive,"SES Americpm, INC",E2037,"N39 22' 33""","W77 04' 54""",39.38,-77.08,"3,700.00","4,200.00",217.5,37.1,53,175.3,17.1,192.4,103,FALSE,2/4/2020,11/16/2022 11:45,11/16/2022 11:45
FSS0001587,Inactive,"SES Americpm, INC",E2037,"N39 22' 33""","W77 04' 54""",39.38,-77.08,"3,700.00","4,200.00",215,38.1,53,175.3,17.1,192.4,101,FALSE,2/4/2020,11/16/2022 11:45,11/16/2022 11:45
FSS0001589,Inactive,"SES Americpm, INC",E2037,"N39 22' 33""","W77 04' 54""",39.38,-77.08,"3,700.00","4,200.00",189.3,44,53,175.3,17.1,192.4,83,FALSE,2/4/2020,11/16/2022 11:45,11/16/2022 11:45
FSS0001591,Inactive,"SES Americom, INC",E990136,"N39 22' 36""","W77 04' 52""",39.38,-77.08,"3,700.00","4,200.00",127.5,29,52.5,182.9,12.8,195.7,37.5,FALSE,2/4/2020,11/16/2022 11:44,11/16/2022 11:44
